enroll_id,grade,counts,year
74075,G8,23,2023
74075,G9,19,2023
74075,G10,24,2023
74075,JHS,0,2023
74074,G7,19,2023
74074,G8,22,2023
74074,G9,17,2023
74074,G10,27,2023
74074,JHS,0,2023
74076,G7,72,2023
74076,G8,78,2023
74076,G9,77,2023
74076,G10,71,2023
74076,JHS,0,2023
74077,G7,73,2023
74077,G8,87,2023
74077,G9,81,2023
74077,G10,101,2023
74077,JHS,0,2023
74078,G7,22,2023
74078,G8,27,2023
74078,G9,24,2023
74078,G10,34,2023
74078,JHS,0,2023
74079,G7,32,2023
74079,G8,34,2023
74079,G9,37,2023
74079,G10,45,2023
74079,JHS,0,2023
74080,G7,73,2023
74080,G8,90,2023
74080,G9,122,2023
74080,G10,104,2023
74080,JHS,3,2023
74081,G7,92,2023
74081,G8,114,2023
74081,G9,82,2023
74081,G10,115,2023
74081,JHS,4,2023
74083,G7,232,2023
74083,G8,306,2023
74083,G9,344,2023
74083,G10,338,2023
74083,JHS,0,2023
74082,G7,279,2023
74082,G8,290,2023
74082,G9,294,2023
74082,G10,315,2023
74082,JHS,0,2023
74085,G7,14,2023
74085,G8,18,2023
74085,G9,16,2023
74085,G10,19,2023
74085,JHS,0,2023
74084,G7,28,2023
74084,G8,26,2023
74084,G9,25,2023
74084,G10,24,2023
74084,JHS,0,2023
74086,G7,61,2023
74086,G8,69,2023
74086,G9,96,2023
74086,G10,106,2023
74086,JHS,0,2023
74087,G7,106,2023
74087,G8,87,2023
74087,G9,96,2023
74087,G10,107,2023
74087,JHS,0,2023
74089,G7,14,2023
74089,G8,22,2023
74089,G9,31,2023
74089,G10,18,2023
74089,JHS,0,2023
74088,G7,25,2023
74088,G8,31,2023
74088,G9,28,2023
74088,G10,26,2023
74088,JHS,0,2023
74091,G7,10,2023
74091,G8,18,2023
74091,G9,23,2023
74091,G10,17,2023
74091,JHS,0,2023
74090,G7,13,2023
74090,G8,16,2023
74090,G9,32,2023
74090,G10,25,2023
74090,JHS,0,2023
74092,G7,58,2023
74092,G8,59,2023
74092,G9,70,2023
74092,G10,70,2023
74092,JHS,0,2023
74093,G7,60,2023
74093,G8,68,2023
74093,G9,61,2023
74093,G10,77,2023
74093,JHS,0,2023
74094,G7,20,2023
74094,G8,17,2023
74094,G9,14,2023
74094,G10,15,2023
74094,JHS,0,2023
74095,G7,7,2023
74095,G8,8,2023
74095,G9,19,2023
74095,G10,20,2023
74095,JHS,0,2023
74097,G7,40,2023
74097,G8,36,2023
74097,G9,54,2023
74097,G10,34,2023
74097,JHS,0,2023
74096,G7,44,2023
74096,G8,47,2023
74096,G9,47,2023
74096,G10,62,2023
74096,JHS,0,2023
74099,G7,516,2023
74099,G8,593,2023
74099,G9,710,2023
74099,G10,719,2023
74099,JHS,0,2023
74098,G7,495,2023
74098,G8,543,2023
74098,G9,634,2023
74098,G10,677,2023
74098,JHS,0,2023
74100,G7,9,2023
74100,G8,9,2023
74100,G9,15,2023
74100,G10,14,2023
74100,JHS,0,2023
