enroll_id,beis_id,gender
559,100286,M
560,100287,F
561,100287,M
562,100288,F
563,100288,M
564,100289,F
565,100289,M
566,100291,F
567,100291,M
568,100292,M
569,100292,F
570,100293,M
571,100293,F
572,100294,M
573,100294,F
574,100295,M
575,100295,F
576,100296,M
577,100296,F
578,100297,M
579,100297,F
580,100298,M
581,100298,F
582,100299,M
583,100299,F
584,100300,M
585,100300,F
586,100301,M
587,100301,F
588,100302,F
589,100302,M
590,100303,F
591,100303,M
592,100304,F
593,100304,M
594,100305,M
595,100305,F
596,100306,M
597,100306,F
598,100307,F
599,100307,M
600,100308,F
601,100308,M
602,100309,F
603,100309,M
604,100310,F
605,100310,M
606,100311,F
607,100311,M
608,100313,F
609,100313,M
610,100314,F
611,100314,M
612,100315,F
613,100315,M
614,100316,F
615,100316,M
616,100317,F
617,100317,M
618,100318,F
619,100318,M
620,100319,F
621,100319,M
622,100320,F
623,100320,M
624,100322,F
625,100322,M
626,100323,M
627,100323,F
628,100324,F
629,100324,M
630,100325,M
631,100325,F
632,100326,M
633,100326,F
634,100327,M
635,100327,F
636,100328,M
637,100328,F
638,100329,M
639,100329,F
640,100330,F
641,100330,M
642,100331,F
643,100331,M
644,100332,F
645,100332,M
646,100333,F
647,100333,M
648,100334,F
649,100334,M
650,100335,F
651,100335,M
652,100336,F
653,100336,M
654,100337,F
655,100337,M
656,100338,F
657,100338,M
658,100339,F
659,100339,M
660,100340,F
661,100340,M
662,100341,F
663,100341,M
664,100342,F
665,100342,M
666,100343,F
667,100343,M
668,100344,M
669,100344,F
670,100345,M
671,100345,F
672,100346,F
673,100346,M
674,100347,F
675,100347,M
676,100348,M
677,100348,F
678,100349,M
679,100349,F
680,100350,F
681,100350,M
682,100351,F
683,100351,M
684,100352,M
685,100352,F
686,100354,F
687,100354,M
688,100355,M
689,100355,F
690,100356,F
691,100356,M
692,100357,F
693,100357,M
694,100358,F
695,100358,M
696,100359,M
697,100359,F
698,100360,M
699,100360,F
700,100361,F
701,100361,M
702,100362,F
703,100362,M
704,100363,F
705,100363,M
706,100364,F
707,100364,M
708,100365,F
709,100365,M
710,100366,F
711,100366,M
712,100367,F
713,100367,M
714,100368,F
715,100368,M
716,100369,M
717,100369,F
718,100370,M
719,100370,F
720,100372,M
721,100372,F
722,100373,M
723,100373,F
724,100374,M
725,100374,F
726,100375,M
727,100375,F
728,100376,M
729,100376,F
730,100377,M
731,100377,F
732,100378,M
733,100378,F
734,100379,M
735,100379,F
736,100380,M
737,100380,F
738,100381,M
739,100381,F
740,100382,M
